model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
MetadataSASRec+SimDCL,44,div_heterogeneous,184229,0.06906621650228792,0.027707217486919265,0.016457629223300057,0.55605
MetadataSASRec+SimDCL,44,target_pop_head,299382,0.12756611953958488,0.052504806855246895,0.03197716012009315,0.57995
MetadataSASRec+SimDCL,44,target_pop_mid,213442,0.03385463029769211,0.012250052432017799,0.006497431408995721,0.59125
MetadataSASRec+SimDCL,44,target_pop_tail,45446,0.012938432425295956,0.004597670362298537,0.0023683514652741012,0.5024
MetadataSASRec,42,all,558270,0.0628781772260734,0.0246358093906392,0.014250594393491,0.4909
MetadataSASRec,42,div_heterogeneous,184229,0.0525107339235408,0.0206793036151521,0.0120363506096845,0.41275
MetadataSASRec,42,div_homogeneous,184229,0.0727138506966872,0.0285522361585367,0.016550186035304,0.43135
MetadataSASRec,42,div_medium,189812,0.0633943059448296,0.0246747095417847,0.0141677568988507,0.4219
MetadataSASRec,42,len_long,187368,0.0601810341146834,0.0234799492815809,0.0135045481487723,0.41425
MetadataSASRec,42,len_medium,182053,0.0634924994369771,0.0249355735289311,0.0144899362068227,0.42215
MetadataSASRec,42,len_short,188849,0.0649619537302289,0.0254936282631012,0.0147600612036832,0.4235
MetadataSASRec,42,target_pop_head,299382,0.1018765323232525,0.0405157018262136,0.0237879324915527,0.44135
MetadataSASRec,42,target_pop_mid,213442,0.0201178774561707,0.0070981254952153,0.0036523235908618,0.4469
MetadataSASRec,42,target_pop_tail,45446,0.0067992782643136,0.0023923637377749,0.0011979332611777,0.3688
MetadataSASRec,43,all,558270,0.0661579522453293,0.0258145532952085,0.0148839806247539,0.514
MetadataSASRec,43,div_heterogeneous,184229,0.0559738151973902,0.0222675071943462,0.0131479242521081,0.44285
